TransportNodeName,TransportNodeType,Latitude,Longitude,OpenDate,CloseDate,AvDaysClosed,TouristsThread,TransportThread,StartRealizeYear,EnsRealizeYear2,Investments,RealizationProbability,RealizationStatus,Investor
Речной вокзал,Речной вокзал,64.531711,40.525960,1 апреля,1 декабря,0,1000,10,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
Архангельск Талаги,Аэропорт,64.592645,40.706789,круглогодично,круглогодично,5,5000,30,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
Автовокзал Архангельск,Автовокзал,64.547529,40.576513,круглогодично,круглогодично,0,3000,50,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
Железнодорожная станция Архангельск-город,Вокзал,64.550506,40.572846,круглогодично,круглогодично,0,1500,50,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
Архангельск Васьково,Аэропорт,64.442848,40.429560,круглогодично,круглогодично,5,1000,30,нет данных,нет данных,нет данных,нет данных,нет данных,нет данных
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
